,uniqueid,stateabbr,cityname,geographiclevel,tractfips,cityfips,statedesc,latitude,longitude
21489,0107000-01073005903,AL,Birmingham,Census Tract,1073005903.0,107000.0,Alabama,-86.6766736351,33.597162309
9709,0107000-01073005905,AL,Birmingham,Census Tract,1073005905.0,107000.0,Alabama,-86.7008123418,33.603988455999996
11327,0107000-01073005907,AL,Birmingham,Census Tract,1073005907.0,107000.0,Alabama,-86.6691996417,33.6142861501
59128,0107000-01073005908,AL,Birmingham,Census Tract,1073005908.0,107000.0,Alabama,-86.6801483084,33.618292443200005
34306,0107000-01073005909,AL,Birmingham,Census Tract,1073005909.0,107000.0,Alabama,-86.72142215139999,33.611811773
82931,0107000-01073005910,AL,Birmingham,Census Tract,1073005910.0,107000.0,Alabama,-86.7194311229,33.6299017499
52233,0107000-01073010500,AL,Birmingham,Census Tract,1073010500.0,107000.0,Alabama,-86.9128923072,33.4363786806
47087,0107000-01073010701,AL,Birmingham,Census Tract,1073010701.0,107000.0,Alabama,-86.8146487762,33.473886155
28339,0107000-01073010706,AL,Birmingham,Census Tract,1073010706.0,107000.0,Alabama,-86.8405352645,33.4443709442
2655,0107000-01073010801,AL,Birmingham,Census Tract,1073010801.0,107000.0,Alabama,-86.74669713620001,33.514097853
40878,0107000-01073010802,AL,Birmingham,Census Tract,1073010802.0,107000.0,Alabama,-86.78084302399999,33.4885493477
17161,0107000-01073010803,AL,Birmingham,Census Tract,1073010803.0,107000.0,Alabama,-86.7102618642,33.5229093892
23601,0107000-01073010805,AL,Birmingham,Census Tract,1073010805.0,107000.0,Alabama,-86.6987184974,33.495279247199996
13083,0107000-01073011104,AL,Birmingham,Census Tract,1073011104.0,107000.0,Alabama,-86.6557892507,33.6159436433
28670,0107000-01073011107,AL,Birmingham,Census Tract,1073011107.0,107000.0,Alabama,-86.63011109610001,33.5804845249
9991,0107000-01073011108,AL,Birmingham,Census Tract,1073011108.0,107000.0,Alabama,-86.6316729386,33.6050742596
18430,0107000-01073011207,AL,Birmingham,Census Tract,1073011207.0,107000.0,Alabama,-86.67725104649999,33.671884870599996
24951,0107000-01073011209,AL,Birmingham,Census Tract,1073011209.0,107000.0,Alabama,-86.7050698349,33.6557189992
5527,0107000-01073011210,AL,Birmingham,Census Tract,1073011210.0,107000.0,Alabama,-86.6956170686,33.6641893755
29132,0107000-01073011803,AL,Birmingham,Census Tract,1073011803.0,107000.0,Alabama,-86.6998610409,33.6252575173
15421,0107000-01073011804,AL,Birmingham,Census Tract,1073011804.0,107000.0,Alabama,-86.70429744239999,33.6474916175
15626,0107000-01073011901,AL,Birmingham,Census Tract,1073011901.0,107000.0,Alabama,-86.736946691,33.6355414646
39816,0107000-01073011904,AL,Birmingham,Census Tract,1073011904.0,107000.0,Alabama,-86.7357930541,33.593140185
3285,0107000-01073012001,AL,Birmingham,Census Tract,1073012001.0,107000.0,Alabama,-86.86438406799999,33.591948611199996
15143,0107000-01073012002,AL,Birmingham,Census Tract,1073012002.0,107000.0,Alabama,-86.8357007188,33.585923419699995
23725,0107000-01073012200,AL,Birmingham,Census Tract,1073012200.0,107000.0,Alabama,-87.0879396857,33.5967441904
74400,0107000-01073012302,AL,Birmingham,Census Tract,1073012302.0,107000.0,Alabama,-87.0544691416,33.5542816352
34576,0107000-01073012305,AL,Birmingham,Census Tract,1073012305.0,107000.0,Alabama,-86.96831739,33.469535806399996
59336,0107000-01073012401,AL,Birmingham,Census Tract,1073012401.0,107000.0,Alabama,-86.8777935049,33.5571951048
33044,0107000-01073012402,AL,Birmingham,Census Tract,1073012402.0,107000.0,Alabama,-86.8994543327,33.549984171999995
3917,0107000-01073012500,AL,Birmingham,Census Tract,1073012500.0,107000.0,Alabama,-86.9346476445,33.529160486
34719,0107000-01073012602,AL,Birmingham,Census Tract,1073012602.0,107000.0,Alabama,-86.666430582,33.570164674000004
11157,0107000-01073012701,AL,Birmingham,Census Tract,1073012701.0,107000.0,Alabama,-86.63237734549999,33.5484078071
5168,0107000-01073012703,AL,Birmingham,Census Tract,1073012703.0,107000.0,Alabama,-86.66718882129999,33.468118094299996
7334,0107000-01073012704,AL,Birmingham,Census Tract,1073012704.0,107000.0,Alabama,-86.61809834030001,33.5034195908
7798,0107000-01073012803,AL,Birmingham,Census Tract,1073012803.0,107000.0,Alabama,-86.72129369379999,33.4439425865
31170,0107000-01073012910,AL,Birmingham,Census Tract,1073012910.0,107000.0,Alabama,-86.7263292059,33.4345805042
12333,0107000-01073013002,AL,Birmingham,Census Tract,1073013002.0,107000.0,Alabama,-86.85672877969999,33.46604181
26791,0107000-01073013100,AL,Birmingham,Census Tract,1073013100.0,107000.0,Alabama,-86.88784015790002,33.44880214
73804,0107000-01073013300,AL,Birmingham,Census Tract,1073013300.0,107000.0,Alabama,-86.9248768665,33.4396443569
17808,0107000-01073013901,AL,Birmingham,Census Tract,1073013901.0,107000.0,Alabama,-86.9547337648,33.4729384906
22379,0107000-01073014302,AL,Birmingham,Census Tract,1073014302.0,107000.0,Alabama,-86.8841474217,33.4244658829
45854,0107000-01073014413,AL,Birmingham,Census Tract,1073014413.0,107000.0,Alabama,-86.8508620751,33.4226593117
2934,0107000-01117030213,AL,Birmingham,Census Tract,1117030213.0,107000.0,Alabama,-86.6735959359,33.4395975193
20721,0107000-01117030217,AL,Birmingham,Census Tract,1117030217.0,107000.0,Alabama,-86.65202086389999,33.4556995763
20763,0107000-01117030303,AL,Birmingham,Census Tract,1117030303.0,107000.0,Alabama,-86.713819356,33.4258661239
4106,0135896,AL,Hoover,City,,135896.0,Alabama,-86.80519375680001,33.3767602729
18914,0135896-01073012704,AL,Hoover,Census Tract,1073012704.0,135896.0,Alabama,-86.61934332540001,33.4672065229
8014,0135896-01073012906,AL,Hoover,Census Tract,1073012906.0,135896.0,Alabama,-86.7876502287,33.404516140300004
1622,0135896-01073012907,AL,Hoover,Census Tract,1073012907.0,135896.0,Alabama,-86.77094506899999,33.4026873912
34274,0135896-01073012908,AL,Hoover,Census Tract,1073012908.0,135896.0,Alabama,-86.7988914335,33.3984946605
15082,0135896-01073012910,AL,Hoover,Census Tract,1073012910.0,135896.0,Alabama,-86.722131839,33.418693772
16211,0135896-01073012912,AL,Hoover,Census Tract,1073012912.0,135896.0,Alabama,-86.79522919770001,33.3839016626
29853,0135896-01073012913,AL,Hoover,Census Tract,1073012913.0,135896.0,Alabama,-86.793375026,33.373607893
5154,0135896-01073014203,AL,Hoover,Census Tract,1073014203.0,135896.0,Alabama,-86.90050200799999,33.3128046299
6570,0135896-01073014204,AL,Hoover,Census Tract,1073014204.0,135896.0,Alabama,-86.8888460736,33.3391783494
27038,0135896-01073014302,AL,Hoover,Census Tract,1073014302.0,135896.0,Alabama,-86.88337551049999,33.3923792867
27391,0135896-01073014404,AL,Hoover,Census Tract,1073014404.0,135896.0,Alabama,-86.8228782375,33.431213669899996
6259,0135896-01073014405,AL,Hoover,Census Tract,1073014405.0,135896.0,Alabama,-86.82927261639999,33.4223942211
152,0135896-01073014406,AL,Hoover,Census Tract,1073014406.0,135896.0,Alabama,-86.8333493253,33.401945611799995
39453,0135896-01073014408,AL,Hoover,Census Tract,1073014408.0,135896.0,Alabama,-86.81109624209999,33.3714906081
4683,0135896-01073014409,AL,Hoover,Census Tract,1073014409.0,135896.0,Alabama,-86.81474036899999,33.3940185192
6630,0135896-01073014410,AL,Hoover,Census Tract,1073014410.0,135896.0,Alabama,-86.84442787180001,33.3494208078
46923,0135896-01073014412,AL,Hoover,Census Tract,1073014412.0,135896.0,Alabama,-86.85034357469999,33.4019806536
6592,0135896-01073014413,AL,Hoover,Census Tract,1073014413.0,135896.0,Alabama,-86.85349009120002,33.3733919761
38944,0135896-01117030212,AL,Hoover,Census Tract,1117030212.0,135896.0,Alabama,-86.69639183219999,33.423125404000004
22712,0135896-01117030216,AL,Hoover,Census Tract,1117030216.0,135896.0,Alabama,-86.6452578981,33.417421408
11344,0135896-01117030217,AL,Hoover,Census Tract,1117030217.0,135896.0,Alabama,-86.6382002523,33.4384217583
32575,0135896-01117030303,AL,Hoover,Census Tract,1117030303.0,135896.0,Alabama,-86.72085017120001,33.407389199099995
1583,0135896-01117030304,AL,Hoover,Census Tract,1117030304.0,135896.0,Alabama,-86.7606477683,33.3846264819
11268,0135896-01117030305,AL,Hoover,Census Tract,1117030305.0,135896.0,Alabama,-86.7740677526,33.3506323247
1505,0135896-01117030314,AL,Hoover,Census Tract,1117030314.0,135896.0,Alabama,-86.7921165874,33.3586019342
37936,0135896-01117030330,AL,Hoover,Census Tract,1117030330.0,135896.0,Alabama,-86.6887566067,33.413982376999996
36150,0135896-01117030333,AL,Hoover,Census Tract,1117030333.0,135896.0,Alabama,-86.8194470284,33.348389952800005
828,0135896-01117030334,AL,Hoover,Census Tract,1117030334.0,135896.0,Alabama,-86.8872412717,33.3045872589
69824,0135896-01117030344,AL,Hoover,Census Tract,1117030344.0,135896.0,Alabama,-86.66920939709999,33.4099905522
9402,0137000,AL,Huntsville,City,,137000.0,Alabama,-86.6387042882,34.6989692671
14979,0137000-01083020802,AL,Huntsville,Census Tract,1083020802.0,137000.0,Alabama,-86.7954879957,34.7787037744
28909,0137000-01083021200,AL,Huntsville,Census Tract,1083021200.0,137000.0,Alabama,-86.8340393074,34.6542365337
31955,0137000-01089000201,AL,Huntsville,Census Tract,1089000201.0,137000.0,Alabama,-86.549549341,34.7741553775
957,0137000-01089000202,AL,Huntsville,Census Tract,1089000202.0,137000.0,Alabama,-86.57330582450001,34.77912474
55187,0137000-01089000301,AL,Huntsville,Census Tract,1089000301.0,137000.0,Alabama,-86.58984061059999,34.7830430159
30397,0137000-01089000302,AL,Huntsville,Census Tract,1089000302.0,137000.0,Alabama,-86.6077359957,34.7823282055
25807,0137000-01089000403,AL,Huntsville,Census Tract,1089000403.0,137000.0,Alabama,-86.6173786791,34.804976161
10087,0137000-01089000501,AL,Huntsville,Census Tract,1089000501.0,137000.0,Alabama,-86.6353459087,34.7752235372
54570,0137000-01089000502,AL,Huntsville,Census Tract,1089000502.0,137000.0,Alabama,-86.6346783481,34.767930160700004
4570,0137000-01089000503,AL,Huntsville,Census Tract,1089000503.0,137000.0,Alabama,-86.62849199840001,34.7628782392
42226,0137000-01089000601,AL,Huntsville,Census Tract,1089000601.0,137000.0,Alabama,-86.63450271629999,34.7538633977
25766,0137000-01089000602,AL,Huntsville,Census Tract,1089000602.0,137000.0,Alabama,-86.6194210493,34.7547187585
1974,0137000-01089000701,AL,Huntsville,Census Tract,1089000701.0,137000.0,Alabama,-86.6021900616,34.767234974299996
2929,0137000-01089000702,AL,Huntsville,Census Tract,1089000702.0,137000.0,Alabama,-86.60285648770001,34.7544696123
34181,0137000-01089000901,AL,Huntsville,Census Tract,1089000901.0,137000.0,Alabama,-86.5476195578,34.7596737349
12750,0137000-01089000902,AL,Huntsville,Census Tract,1089000902.0,137000.0,Alabama,-86.55374518389999,34.745002394299995
9773,0137000-01089001000,AL,Huntsville,Census Tract,1089001000.0,137000.0,Alabama,-86.57311808930001,34.7422454743
5902,0137000-01089001200,AL,Huntsville,Census Tract,1089001200.0,137000.0,Alabama,-86.60540154799999,34.7338446796
22106,0137000-01089001301,AL,Huntsville,Census Tract,1089001301.0,137000.0,Alabama,-86.63767506129999,34.7415924441
32347,0137000-01089001302,AL,Huntsville,Census Tract,1089001302.0,137000.0,Alabama,-86.62105795139999,34.7435758414
11581,0137000-01089001401,AL,Huntsville,Census Tract,1089001401.0,137000.0,Alabama,-86.7028564991,34.7398202092
40451,0137000-01089001402,AL,Huntsville,Census Tract,1089001402.0,137000.0,Alabama,-86.6778493286,34.7230064375
28264,0137000-01089001500,AL,Huntsville,Census Tract,1089001500.0,137000.0,Alabama,-86.628652905,34.7275749675
21273,0137000-01089001700,AL,Huntsville,Census Tract,1089001700.0,137000.0,Alabama,-86.56737691209999,34.7273192067
27972,0137000-01089001801,AL,Huntsville,Census Tract,1089001801.0,137000.0,Alabama,-86.541048163,34.7319277032
61362,0137000-01089001901,AL,Huntsville,Census Tract,1089001901.0,137000.0,Alabama,-86.5513936181,34.7097766001
3501,0137000-01089001902,AL,Huntsville,Census Tract,1089001902.0,137000.0,Alabama,-86.5340662737,34.6831042257
32848,0137000-01089001903,AL,Huntsville,Census Tract,1089001903.0,137000.0,Alabama,-86.560919114,34.689797268
19750,0137000-01089002000,AL,Huntsville,Census Tract,1089002000.0,137000.0,Alabama,-86.58260696139999,34.7119346746
16372,0137000-01089002100,AL,Huntsville,Census Tract,1089002100.0,137000.0,Alabama,-86.60623345879999,34.7178406212
5366,0137000-01089002200,AL,Huntsville,Census Tract,1089002200.0,137000.0,Alabama,-86.6298997727,34.716537610399996
33497,0137000-01089002300,AL,Huntsville,Census Tract,1089002300.0,137000.0,Alabama,-86.61823839280001,34.7055173887
31254,0137000-01089002400,AL,Huntsville,Census Tract,1089002400.0,137000.0,Alabama,-86.61865179680001,34.6908031806
35283,0137000-01089002501,AL,Huntsville,Census Tract,1089002501.0,137000.0,Alabama,-86.59696237850001,34.6994651654
38890,0137000-01089002502,AL,Huntsville,Census Tract,1089002502.0,137000.0,Alabama,-86.59529738360001,34.6801074903
3335,0137000-01089002600,AL,Huntsville,Census Tract,1089002600.0,137000.0,Alabama,-86.5750840742,34.6915407457
23532,0137000-01089002701,AL,Huntsville,Census Tract,1089002701.0,137000.0,Alabama,-86.56325123200001,34.6613750785
6301,0137000-01089002721,AL,Huntsville,Census Tract,1089002721.0,137000.0,Alabama,-86.5478368534,34.659049054499995
85322,0137000-01089002722,AL,Huntsville,Census Tract,1089002722.0,137000.0,Alabama,-86.5289542697,34.6560827987
8643,0137000-01089002801,AL,Huntsville,Census Tract,1089002801.0,137000.0,Alabama,-86.5825008433,34.6576156753
34776,0137000-01089002802,AL,Huntsville,Census Tract,1089002802.0,137000.0,Alabama,-86.57538810860001,34.608412306999995
13329,0137000-01089002911,AL,Huntsville,Census Tract,1089002911.0,137000.0,Alabama,-86.5527165626,34.6365918348
1178,0137000-01089002912,AL,Huntsville,Census Tract,1089002912.0,137000.0,Alabama,-86.52820606290001,34.6350692732
3543,0137000-01089002921,AL,Huntsville,Census Tract,1089002921.0,137000.0,Alabama,-86.5553843441,34.6092624615
24809,0137000-01089002922,AL,Huntsville,Census Tract,1089002922.0,137000.0,Alabama,-86.5329568642,34.612755588
52349,0137000-01089003000,AL,Huntsville,Census Tract,1089003000.0,137000.0,Alabama,-86.5879318773,34.7507614382
21314,0137000-01089003100,AL,Huntsville,Census Tract,1089003100.0,137000.0,Alabama,-86.58597093350001,34.729926851799995
3881,0137000-01089010502,AL,Huntsville,Census Tract,1089010502.0,137000.0,Alabama,-86.6593590601,34.8389944775
7162,0137000-01089010612,AL,Huntsville,Census Tract,1089010612.0,137000.0,Alabama,-86.7500225775,34.7636374497
67531,0137000-01089010621,AL,Huntsville,Census Tract,1089010621.0,137000.0,Alabama,-86.6775680789,34.7976427007
46494,0137000-01089010622,AL,Huntsville,Census Tract,1089010622.0,137000.0,Alabama,-86.6692300807,34.7576315792
31185,0137000-01089010623,AL,Huntsville,Census Tract,1089010623.0,137000.0,Alabama,-86.7409717865,34.7808033041
8096,0137000-01089010624,AL,Huntsville,Census Tract,1089010624.0,137000.0,Alabama,-86.7834831275,34.7900944498
29646,0137000-01089010701,AL,Huntsville,Census Tract,1089010701.0,137000.0,Alabama,-86.6324691049,34.8377268097
8676,0137000-01089010702,AL,Huntsville,Census Tract,1089010702.0,137000.0,Alabama,-86.56083866719999,34.81038039
2508,0137000-01089010800,AL,Huntsville,Census Tract,1089010800.0,137000.0,Alabama,-86.5129810014,34.7460884751
27074,0137000-01089010901,AL,Huntsville,Census Tract,1089010901.0,137000.0,Alabama,-86.4700242692,34.6739365015
3025,0137000-01089010902,AL,Huntsville,Census Tract,1089010902.0,137000.0,Alabama,-86.4352848673,34.645428498499996
3992,0137000-01089011011,AL,Huntsville,Census Tract,1089011011.0,137000.0,Alabama,-86.7739696883,34.7457774598
13722,0137000-01089011012,AL,Huntsville,Census Tract,1089011012.0,137000.0,Alabama,-86.72281977440001,34.7549560199
14446,0137000-01089011022,AL,Huntsville,Census Tract,1089011022.0,137000.0,Alabama,-86.7108145743,34.6990029313
80413,0137000-01089011100,AL,Huntsville,Census Tract,1089011100.0,137000.0,Alabama,-86.6942482318,34.678659986
21622,0137000-01089011200,AL,Huntsville,Census Tract,1089011200.0,137000.0,Alabama,-86.7569226404,34.6314816416
38601,0137000-01089011300,AL,Huntsville,Census Tract,1089011300.0,137000.0,Alabama,-86.5141757841,34.587149541399995
27260,0150000,AL,Mobile,City,,150000.0,Alabama,-88.1184482714,30.6776248648
28978,0150000-01097000200,AL,Mobile,Census Tract,1097000200.0,150000.0,Alabama,-88.0480222466,30.6911143459
30899,0150000-01097000401,AL,Mobile,Census Tract,1097000401.0,150000.0,Alabama,-88.058885762,30.699084069
28065,0150000-01097000402,AL,Mobile,Census Tract,1097000402.0,150000.0,Alabama,-88.0521437726,30.7043269797
20853,0150000-01097000500,AL,Mobile,Census Tract,1097000500.0,150000.0,Alabama,-88.0663774985,30.705549702800003
9594,0150000-01097000600,AL,Mobile,Census Tract,1097000600.0,150000.0,Alabama,-88.07595395959999,30.7121364165
56821,0150000-01097000701,AL,Mobile,Census Tract,1097000701.0,150000.0,Alabama,-88.08611009879999,30.7128424648
9527,0150000-01097000702,AL,Mobile,Census Tract,1097000702.0,150000.0,Alabama,-88.0937646151,30.7212474206
51453,0150000-01097000800,AL,Mobile,Census Tract,1097000800.0,150000.0,Alabama,-88.0923250223,30.705909554
16321,0150000-01097000901,AL,Mobile,Census Tract,1097000901.0,150000.0,Alabama,-88.07381030379999,30.691960918499998
25255,0150000-01097000902,AL,Mobile,Census Tract,1097000902.0,150000.0,Alabama,-88.0744007026,30.6834130911
23328,0150000-01097000903,AL,Mobile,Census Tract,1097000903.0,150000.0,Alabama,-88.0734909831,30.6773945427
9455,0150000-01097001001,AL,Mobile,Census Tract,1097001001.0,150000.0,Alabama,-88.0602180151,30.6868735828
36713,0150000-01097001002,AL,Mobile,Census Tract,1097001002.0,150000.0,Alabama,-88.06069700219999,30.6779765752
24350,0150000-01097001100,AL,Mobile,Census Tract,1097001100.0,150000.0,Alabama,-88.0488553183,30.6778504152
14786,0150000-01097001200,AL,Mobile,Census Tract,1097001200.0,150000.0,Alabama,-88.0266676807,30.691037816999998
23206,0150000-01097001302,AL,Mobile,Census Tract,1097001302.0,150000.0,Alabama,-88.063397619,30.666865582800003
1184,0150000-01097001400,AL,Mobile,Census Tract,1097001400.0,150000.0,Alabama,-88.0769676916,30.668198046500002
17946,0150000-01097001501,AL,Mobile,Census Tract,1097001501.0,150000.0,Alabama,-88.07774508959999,30.6551300583
20576,0150000-01097001502,AL,Mobile,Census Tract,1097001502.0,150000.0,Alabama,-88.06883739860001,30.6568785057
37847,0150000-01097001800,AL,Mobile,Census Tract,1097001800.0,150000.0,Alabama,-88.07115394530001,30.589582345700002
11612,0150000-01097001901,AL,Mobile,Census Tract,1097001901.0,150000.0,Alabama,-88.0902169241,30.587974554200002
11975,0150000-01097001902,AL,Mobile,Census Tract,1097001902.0,150000.0,Alabama,-88.0983946403,30.6032500646
1990,0150000-01097002000,AL,Mobile,Census Tract,1097002000.0,150000.0,Alabama,-88.1166114551,30.6150887081
42440,0150000-01097002100,AL,Mobile,Census Tract,1097002100.0,150000.0,Alabama,-88.11186390040001,30.6442955346
74361,0150000-01097002200,AL,Mobile,Census Tract,1097002200.0,150000.0,Alabama,-88.1000989399,30.6500985912
37787,0150000-01097002301,AL,Mobile,Census Tract,1097002301.0,150000.0,Alabama,-88.09227024209999,30.6496102778
1235,0150000-01097002302,AL,Mobile,Census Tract,1097002302.0,150000.0,Alabama,-88.0853320924,30.652468098000003
2866,0150000-01097002400,AL,Mobile,Census Tract,1097002400.0,150000.0,Alabama,-88.092562406,30.669092268000004
8162,0150000-01097002501,AL,Mobile,Census Tract,1097002501.0,150000.0,Alabama,-88.0933051805,30.679843434299997
12145,0150000-01097002502,AL,Mobile,Census Tract,1097002502.0,150000.0,Alabama,-88.0897047531,30.6922510523
3047,0150000-01097002600,AL,Mobile,Census Tract,1097002600.0,150000.0,Alabama,-88.1107454976,30.707286781
151,0150000-01097002700,AL,Mobile,Census Tract,1097002700.0,150000.0,Alabama,-88.11408545540002,30.695032327800003
16650,0150000-01097002800,AL,Mobile,Census Tract,1097002800.0,150000.0,Alabama,-88.11448248399999,30.682577829299998
47872,0150000-01097002900,AL,Mobile,Census Tract,1097002900.0,150000.0,Alabama,-88.11679505379999,30.6666476217
46002,0150000-01097003000,AL,Mobile,Census Tract,1097003000.0,150000.0,Alabama,-88.1378297631,30.627083156399998
6737,0150000-01097003100,AL,Mobile,Census Tract,1097003100.0,150000.0,Alabama,-88.1437968495,30.6434608725
28552,0150000-01097003202,AL,Mobile,Census Tract,1097003202.0,150000.0,Alabama,-88.15305429440001,30.6555596666
34142,0150000-01097003203,AL,Mobile,Census Tract,1097003203.0,150000.0,Alabama,-88.1601468798,30.6692022792
20622,0150000-01097003204,AL,Mobile,Census Tract,1097003204.0,150000.0,Alabama,-88.1370982243,30.669815338899998
12863,0150000-01097003205,AL,Mobile,Census Tract,1097003205.0,150000.0,Alabama,-88.1415501509,30.6609259649
10949,0150000-01097003301,AL,Mobile,Census Tract,1097003301.0,150000.0,Alabama,-88.13750684520001,30.681032810100003
